f,E_stor,E_loss,T,Set
Hz, MPa, MPa, C, -
0.1,8097.175545,93.07449045,-49.9612,0
0.215443,8576.843825,118.1934952,-49.9617,0
0.464159,8725.535057,124.8434255,-49.7383,0
1,8781.764697,139.9167864,-49.8128,0
2.15443,8877.948335,160.2882519,-49.8721,0
4.64159,8901.620908,180.5475666,-49.9172,0
10,8999.484824,218.0459472,-49.917,0
21.5443,9082.892328,230.9244101,-49.9614,0
46.4159,9144.791876,271.7052879,-49.9612,0
100,9228.633356,407.0247241,-49.9912,0
0.1,8438.976092,87.12566618,-42.4885,1
0.215443,8584.648382,109.6313406,-42.3992,1
0.464159,8611.509577,119.9365883,-42.4136,1
1,8631.461135,130.6438578,-42.3841,1
2.15443,8685.493596,142.153247,-42.4431,1
4.64159,8759.57567,161.0921643,-42.5026,1
10,8784.259703,190.0811108,-42.4731,1
21.5443,8841.743223,215.7901586,-42.4731,1
46.4159,8900.481984,260.6333266,-42.4731,1
100,8974.480135,396.2707932,-42.4587,1
0.1,8194.023606,113.256622,-34.955,2
0.215443,8387.629222,105.3252034,-34.9393,2
0.464159,8410.523191,109.4494755,-34.9096,2
1,8446.913515,117.8003676,-34.8949,2
2.15443,8479.369053,126.6289211,-34.9248,2
4.64159,8528.933057,142.5003735,-34.9102,2
10,8576.760981,171.8188012,-34.9545,2
21.5443,8616.002423,198.0486598,-34.9248,2
46.4159,8667.855007,244.9820564,-34.9096,2
100,8735.188062,379.9819076,-34.8804,2
0.1,8013.000916,121.980262,-27.3995,3
0.215443,8134.995839,119.8340808,-27.4746,3
0.464159,8203.000971,114.2804189,-27.43,3
1,8227.099709,116.7099961,-27.4144,3
2.15443,8253.234653,119.4334124,-27.4147,3
4.64159,8316.063162,129.7831506,-27.4292,3
10,8361.894572,156.0191666,-27.3846,3
21.5443,8395.442376,181.0603228,-27.3546,3
46.4159,8433.698123,228.2829904,-27.3997,3
100,8493.610512,362.6375525,-27.3995,3
0.1,7889.336773,150.4010555,-19.827,4
0.215443,7960.746038,128.7230838,-20.0227,4
0.464159,7991.138018,124.7496338,-20.0375,4
1,8028.887131,121.9473839,-20.0223,4
2.15443,8070.177856,122.5135059,-20.0227,4
4.64159,8104.646573,125.3050762,-20.0078,4
10,8138.671064,146.7609749,-19.9925,4
21.5443,8160.28636,167.902334,-19.9925,4
46.4159,8194.098346,213.2244297,-19.9777,4
100,8248.301101,343.3813663,-19.992,4
0.1,7729.192302,189.7414189,-12.0674,5
0.215443,7641.961888,168.3298616,-12.1888,5
0.464159,7692.530512,144.159089,-12.2643,5
1,7764.858496,141.0526204,-12.3248,5
2.15443,7798.48507,134.2068441,-12.3395,5
4.64159,7859.287837,132.7101542,-12.3694,5
10,7885.917569,146.9501397,-12.3692,5
21.5443,7917.068457,162.2564465,-12.3548,5
46.4159,7948.898072,202.7749084,-12.3548,5
100,7995.739574,327.0136186,-12.3697,5
0.1,7355.86341,214.0223774,-4.56833,6
0.215443,7328.882578,191.9672519,-4.67422,6
0.464159,7398.998327,176.7783059,-4.71953,6
1,7474.576985,164.942145,-4.76453,6
2.15443,7530.968619,157.3612173,-4.77986,6
4.64159,7583.824555,148.6568266,-4.79507,6
10,7627.061809,157.8778923,-4.81003,6
21.5443,7662.168779,165.9651872,-4.82504,6
46.4159,7695.786187,200.2489849,-4.84019,6
100,7738.785759,316.9535921,-4.84019,6
0.1,6771.782922,240.2510983,2.69884,7
0.215443,6914.564063,225.082072,2.56241,7
0.464159,7030.489017,208.4118689,2.51697,7
1,7125.995583,194.3062357,2.48694,7
2.15443,7206.733827,185.4233229,2.45689,7
4.64159,7244.995613,173.6923089,2.47179,7
10,7333.720543,178.1689649,2.48644,7
21.5443,7368.964349,179.9932724,2.48624,7
46.4159,7408.112826,207.6343674,2.45663,7
100,7458.231001,314.6121463,2.47134,7
0.1,6356.331384,268.2358956,10.1848,8
0.215443,6483.829784,251.6854088,9.95763,8
0.464159,6612.198736,239.8189844,9.94223,8
1,6744.614073,227.9985733,9.9269,8
2.15443,6831.338506,217.562397,9.91194,8
4.64159,6915.943564,203.1958708,9.89729,8
10,6984.41182,204.260371,9.91176,8
21.5443,7046.333234,200.9857725,9.89685,8
46.4159,7099.298451,221.9848052,9.91194,8
100,7155.522726,318.6568977,9.91176,8
0.1,5983.471376,330.3616619,17.9849,9
0.215443,6018.681313,307.5621257,17.9539,9
0.464159,6130.272028,285.2595246,17.8782,9
1,6238.89434,270.9548007,17.8629,9
2.15443,6365.895237,260.5115549,17.8324,9
4.64159,6467.477762,245.0661372,17.8174,9
10,6540.023289,242.4316156,17.8018,9
21.5443,6624.144294,234.026542,17.7862,9
46.4159,6699.680204,249.467795,17.7865,9
100,6766.961727,333.1392761,17.7714,9
0.1,5371.470844,371.9058432,24.9569,10
0.215443,5448.045779,358.1050094,24.9572,10
0.464159,5547.296924,334.4132104,24.9569,10
1,5685.851394,317.9419665,24.9567,10
2.15443,5807.084069,305.2802793,24.9719,10
4.64159,5947.491018,289.0965084,25.0022,10
10,6054.644816,286.582418,24.9874,10
21.5443,6168.695227,275.4044728,24.9876,10
46.4159,6261.136475,285.4794071,25.0025,10
100,6348.481816,359.1912327,25.0025,10
0.1,4596.366433,426.5148853,32.4698,11
0.215443,4696.087049,412.423384,32.4848,11
0.464159,4816.828293,390.2768105,32.4846,11
1,4956.234074,374.9275543,32.4846,11
2.15443,5119.798303,365.5425725,32.4545,11
4.64159,5280.004854,349.544623,32.4543,11
10,5408.582618,345.6844863,32.4543,11
21.5443,5555.714447,331.7008889,32.4389,11
46.4159,5680.572429,337.6372814,32.4386,11
100,5796.253545,399.25665,32.4538,11
0.1,3559.704139,471.4471089,39.9783,12
0.215443,3681.238519,454.3388835,39.9934,12
0.464159,3864.143146,449.0786386,39.9783,12
1,4049.440994,438.5301582,39.963,12
2.15443,4232.51623,429.2711176,39.9628,12
4.64159,4411.794238,415.5959401,39.9479,12
10,4573.062446,412.5000076,39.963,12
21.5443,4751.832246,401.0002895,39.9778,12
46.4159,4916.504619,404.8857329,39.9628,12
100,5070.381533,454.5800467,39.9628,12
0.1,2387.425014,497.8008086,47.4629,13
0.215443,2569.567755,494.7429233,47.4938,13
0.464159,2782.956198,503.9078951,47.4779,13
1,2983.666171,500.3812605,47.4935,13
2.15443,3189.815057,493.4722662,47.4784,13
4.64159,3400.070746,481.8133556,47.4776,13
10,3583.894456,479.2421823,47.4935,13
21.5443,3797.598315,469.907781,47.4938,13
46.4159,4006.63053,471.7513957,47.5087,13
100,4196.406132,510.57753,47.4935,13
0.1,1481.478596,415.8083428,54.9745,14
0.215443,1704.569324,452.5939411,54.9592,14
0.464159,1899.471118,467.3541643,54.9286,14
1,2110.429723,478.9029552,54.9589,14
2.15443,2328.879383,488.6812876,54.9742,14
4.64159,2548.367292,492.3513925,54.9742,14
10,2760.928066,497.5134435,54.9748,14
21.5443,2999.19326,495.7341052,54.9744,14
46.4159,3227.244497,502.180286,54.9744,14
100,3443.382699,537.5953929,54.9744,14
0.1,910.3447771,301.1468977,62.4929,15
0.215443,1072.069988,342.1359281,62.4774,15
0.464159,1240.523141,377.3499509,62.447,15
1,1424.089533,409.5083875,62.4927,15
2.15443,1618.583607,436.8083324,62.478,15
4.64159,1825.379601,460.0201426,62.4928,15
10,2044.209521,478.3960666,62.4776,15
21.5443,2276.548706,491.0669538,62.4624,15
46.4159,2509.384886,506.0968585,62.4471,15
100,2737.80329,540.2293812,62.4626,15
0.1,570.8900535,186.8811201,69.993,16
0.215443,672.0708752,226.8946866,69.9619,16
0.464159,787.2921788,267.3456749,69.993,16
1,922.8825282,309.0566565,69.9772,16
2.15443,1079.488656,350.793086,69.9775,16
4.64159,1247.217777,390.4230391,69.9928,16
10,1446.967871,424.902325,69.9777,16
21.5443,1662.544473,454.5045198,69.9772,16
46.4159,1884.884505,482.0910799,69.9772,16
100,2112.024949,522.9177937,70.0231,16
0.1,395.3765027,106.5295259,77.4677,17
0.215443,450.6316485,134.7638964,77.484,17
0.464159,518.7644263,168.1915434,77.483,17
1,603.7319121,206.2891983,77.483,17
2.15443,707.1324457,248.691472,77.4523,17
4.64159,833.9380404,294.138911,77.483,17
10,984.1948307,340.2874363,77.4828,17
21.5443,1160.114342,382.5915928,77.4986,17
46.4159,1356.336965,425.0384811,77.4986,17
100,1562.466937,473.2573352,77.4986,17
0.1,312.6420012,60.5163711,84.9711,18
0.215443,341.8567493,77.98930476,85.0169,18
0.464159,379.3276071,99.17915923,85.0169,18
1,427.1190562,126.1874101,84.9706,18
2.15443,489.2555305,159.9280526,84.9396,18
4.64159,570.2490262,200.2600335,84.9394,18
10,671.0917496,245.2071413,84.9396,18
21.5443,798.6945393,291.7591749,84.9242,18
46.4159,950.3679301,341.7663048,84.909,18
100,1119.642267,397.5153524,84.8932,18
0.1,274.8175875,36.53139339,92.4327,19
0.215443,290.492497,46.38245816,92.4641,19
0.464159,311.5237599,58.65969621,92.4794,19
1,338.2958374,75.52710612,92.4951,19
2.15443,374.1784321,98.28675993,92.4794,19
4.64159,422.4599995,127.3058311,92.4637,19
10,483.2463945,162.2814668,92.4639,19
21.5443,565.6804809,203.7440322,92.4332,19
46.4159,669.8485286,251.7582162,92.4483,19
100,795.1429644,307.8794145,92.4176,19
0.1,256.5478707,25.24112906,99.9694,20
0.215443,267.2721472,31.05317266,99.9694,20
0.464159,279.8298892,37.07190999,99.9542,20
1,295.9974298,46.99858342,99.9387,20
2.15443,316.1914395,60.82045601,100.016,20
4.64159,344.4897136,79.08904981,100.001,20
10,381.2736917,103.5570589,99.9852,20
21.5443,431.5442613,133.8830162,100.016,20
46.4159,497.9888407,173.728771,100.001,20
100,585.8391184,223.41197,100.001,20
