t,E_relax,T,Set
s,MPa,Â°C,-
10,8097.175545,-49.9612,0
4.641598938,8576.843825,-49.9617,0
2.154434149,8725.535057,-49.7383,0
1,8781.764697,-49.8128,0
0.464159894,8877.948335,-49.8721,0
0.215443415,8901.620908,-49.9172,0
0.1,8999.484824,-49.917,0
0.046415989,9082.892328,-49.9614,0
0.021544341,9144.791876,-49.9612,0
0.01,9228.633356,-49.9912,0
10,8438.976092,-42.4885,1
4.641598938,8584.648382,-42.3992,1
2.154434149,8611.509577,-42.4136,1
1,8631.461135,-42.3841,1
0.464159894,8685.493596,-42.4431,1
0.215443415,8759.57567,-42.5026,1
0.1,8784.259703,-42.4731,1
0.046415989,8841.743223,-42.4731,1
0.021544341,8900.481984,-42.4731,1
0.01,8974.480135,-42.4587,1
10,8194.023606,-34.955,2
4.641598938,8387.629222,-34.9393,2
2.154434149,8410.523191,-34.9096,2
1,8446.913515,-34.8949,2
0.464159894,8479.369053,-34.9248,2
0.215443415,8528.933057,-34.9102,2
0.1,8576.760981,-34.9545,2
0.046415989,8616.002423,-34.9248,2
0.021544341,8667.855007,-34.9096,2
0.01,8735.188062,-34.8804,2
10,8013.000916,-27.3995,3
4.641598938,8134.995839,-27.4746,3
2.154434149,8203.000971,-27.43,3
1,8227.099709,-27.4144,3
0.464159894,8253.234653,-27.4147,3
0.215443415,8316.063162,-27.4292,3
0.1,8361.894572,-27.3846,3
0.046415989,8395.442376,-27.3546,3
0.021544341,8433.698123,-27.3997,3
0.01,8493.610512,-27.3995,3
10,7889.336773,-19.827,4
4.641598938,7960.746038,-20.0227,4
2.154434149,7991.138018,-20.0375,4
1,8028.887131,-20.0223,4
0.464159894,8070.177856,-20.0227,4
0.215443415,8104.646573,-20.0078,4
0.1,8138.671064,-19.9925,4
0.046415989,8160.28636,-19.9925,4
0.021544341,8194.098346,-19.9777,4
0.01,8248.301101,-19.992,4
10,7729.192302,-12.0674,5
4.641598938,7641.961888,-12.1888,5
2.154434149,7692.530512,-12.2643,5
1,7764.858496,-12.3248,5
0.464159894,7798.48507,-12.3395,5
0.215443415,7859.287837,-12.3694,5
0.1,7885.917569,-12.3692,5
0.046415989,7917.068457,-12.3548,5
0.021544341,7948.898072,-12.3548,5
0.01,7995.739574,-12.3697,5
10,7355.86341,-4.56833,6
4.641598938,7328.882578,-4.67422,6
2.154434149,7398.998327,-4.71953,6
1,7474.576985,-4.76453,6
0.464159894,7530.968619,-4.77986,6
0.215443415,7583.824555,-4.79507,6
0.1,7627.061809,-4.81003,6
0.046415989,7662.168779,-4.82504,6
0.021544341,7695.786187,-4.84019,6
0.01,7738.785759,-4.84019,6
10,6771.782922,2.69884,7
4.641598938,6914.564063,2.56241,7
2.154434149,7030.489017,2.51697,7
1,7125.995583,2.48694,7
0.464159894,7206.733827,2.45689,7
0.215443415,7244.995613,2.47179,7
0.1,7333.720543,2.48644,7
0.046415989,7368.964349,2.48624,7
0.021544341,7408.112826,2.45663,7
0.01,7458.231001,2.47134,7
10,6356.331384,10.1848,8
4.641598938,6483.829784,9.95763,8
2.154434149,6612.198736,9.94223,8
1,6744.614073,9.9269,8
0.464159894,6831.338506,9.91194,8
0.215443415,6915.943564,9.89729,8
0.1,6984.41182,9.91176,8
0.046415989,7046.333234,9.89685,8
0.021544341,7099.298451,9.91194,8
0.01,7155.522726,9.91176,8
10,5983.471376,17.9849,9
4.641598938,6018.681313,17.9539,9
2.154434149,6130.272028,17.8782,9
1,6238.89434,17.8629,9
0.464159894,6365.895237,17.8324,9
0.215443415,6467.477762,17.8174,9
0.1,6540.023289,17.8018,9
0.046415989,6624.144294,17.7862,9
0.021544341,6699.680204,17.7865,9
0.01,6766.961727,17.7714,9
10,5371.470844,24.9569,10
4.641598938,5448.045779,24.9572,10
2.154434149,5547.296924,24.9569,10
1,5685.851394,24.9567,10
0.464159894,5807.084069,24.9719,10
0.215443415,5947.491018,25.0022,10
0.1,6054.644816,24.9874,10
0.046415989,6168.695227,24.9876,10
0.021544341,6261.136475,25.0025,10
0.01,6348.481816,25.0025,10
10,4596.366433,32.4698,11
4.641598938,4696.087049,32.4848,11
2.154434149,4816.828293,32.4846,11
1,4956.234074,32.4846,11
0.464159894,5119.798303,32.4545,11
0.215443415,5280.004854,32.4543,11
0.1,5408.582618,32.4543,11
0.046415989,5555.714447,32.4389,11
0.021544341,5680.572429,32.4386,11
0.01,5796.253545,32.4538,11
10,3559.704139,39.9783,12
4.641598938,3681.238519,39.9934,12
2.154434149,3864.143146,39.9783,12
1,4049.440994,39.963,12
0.464159894,4232.51623,39.9628,12
0.215443415,4411.794238,39.9479,12
0.1,4573.062446,39.963,12
0.046415989,4751.832246,39.9778,12
0.021544341,4916.504619,39.9628,12
0.01,5070.381533,39.9628,12
10,2387.425014,47.4629,13
4.641598938,2569.567755,47.4938,13
2.154434149,2782.956198,47.4779,13
1,2983.666171,47.4935,13
0.464159894,3189.815057,47.4784,13
0.215443415,3400.070746,47.4776,13
0.1,3583.894456,47.4935,13
0.046415989,3797.598315,47.4938,13
0.021544341,4006.63053,47.5087,13
0.01,4196.406132,47.4935,13
10,1481.478596,54.9745,14
4.641598938,1704.569324,54.9592,14
2.154434149,1899.471118,54.9286,14
1,2110.429723,54.9589,14
0.464159894,2328.879383,54.9742,14
0.215443415,2548.367292,54.9742,14
0.1,2760.928066,54.9748,14
0.046415989,2999.19326,54.9744,14
0.021544341,3227.244497,54.9744,14
0.01,3443.382699,54.9744,14
10,910.3447771,62.4929,15
4.641598938,1072.069988,62.4774,15
2.154434149,1240.523141,62.447,15
1,1424.089533,62.4927,15
0.464159894,1618.583607,62.478,15
0.215443415,1825.379601,62.4928,15
0.1,2044.209521,62.4776,15
0.046415989,2276.548706,62.4624,15
0.021544341,2509.384886,62.4471,15
0.01,2737.80329,62.4626,15
10,570.8900535,69.993,16
4.641598938,672.0708752,69.9619,16
2.154434149,787.2921788,69.993,16
1,922.8825282,69.9772,16
0.464159894,1079.488656,69.9775,16
0.215443415,1247.217777,69.9928,16
0.1,1446.967871,69.9777,16
0.046415989,1662.544473,69.9772,16
0.021544341,1884.884505,69.9772,16
0.01,2112.024949,70.0231,16
10,395.3765027,77.4677,17
4.641598938,450.6316485,77.484,17
2.154434149,518.7644263,77.483,17
1,603.7319121,77.483,17
0.464159894,707.1324457,77.4523,17
0.215443415,833.9380404,77.483,17
0.1,984.1948307,77.4828,17
0.046415989,1160.114342,77.4986,17
0.021544341,1356.336965,77.4986,17
0.01,1562.466937,77.4986,17
10,312.6420012,84.9711,18
4.641598938,341.8567493,85.0169,18
2.154434149,379.3276071,85.0169,18
1,427.1190562,84.9706,18
0.464159894,489.2555305,84.9396,18
0.215443415,570.2490262,84.9394,18
0.1,671.0917496,84.9396,18
0.046415989,798.6945393,84.9242,18
0.021544341,950.3679301,84.909,18
0.01,1119.642267,84.8932,18
10,274.8175875,92.4327,19
4.641598938,290.492497,92.4641,19
2.154434149,311.5237599,92.4794,19
1,338.2958374,92.4951,19
0.464159894,374.1784321,92.4794,19
0.215443415,422.4599995,92.4637,19
0.1,483.2463945,92.4639,19
0.046415989,565.6804809,92.4332,19
0.021544341,669.8485286,92.4483,19
0.01,795.1429644,92.4176,19
10,256.5478707,99.9694,20
4.641598938,267.2721472,99.9694,20
2.154434149,279.8298892,99.9542,20
1,295.9974298,99.9387,20
0.464159894,316.1914395,100.016,20
0.215443415,344.4897136,100.001,20
0.1,381.2736917,99.9852,20
0.046415989,431.5442613,100.016,20
0.021544341,497.9888407,100.001,20
0.01,585.8391184,100.001,20
